BlackRock|US/UK|5315409|4884550
Vanguard Asset Management|US/UK|4090010|3727455
State Street Global Advisors|US/UK|2316533|2340323
Fidelity Investments|US|2003270|2129650
BNY Mellon Investment Management|US/UK|1585920|1518420
Capital Group|US|1504359|1401780
J.P. Morgan Asset Management|US/UK|1471226|1479125
PIMCO|US/Ger/UK|1462446|1406350
Amundi|France|1426107|1082700
Prudential Financial|US|1160583|1201082
Legal & General Investment Management|UK|1107666|1047470
Goldman Sachs Asset Management Int.|US/UK|1073769|1116606
Wellington Management International|US|899647|928380
Natixis Investment Managers|France/US|830847|831501
T. Rowe Price|US/UK|825368|768711
Nuveen|US/UK|810047|838437
Northern Trust Asset Management|US/UK|800644|0
Invesco|US/UK|780714|771233
AXA Investment Managers|France|745912|699628
DWS (Deutsche Asset Management)|Germany|701736|705867
Affiliated Managers Group|US|696554|689000
UBS Asset Management|Switzerland/UK|663562|612754
Insight Investment|UK|658905|612719
Sumitomo Mitsui Trust Bank|Japan|656450|659180
Aberdeen Standard Investments|UK|648519|0
Legg Mason|US|642894|685993
Franklin Templeton Investments|US/UK|628243|684270
BNP Paribas Asset Management France|France|569332|559964
Mitsubishi UFJ Trust and Banking|Japan|536293|0
Allianz Global Investors|Germany|498000|480135
MetLife Investment Management|US|489162|522592
Dimensional Fund Advisors|US/UK|480593|436135
Schroder Investment Management|UK|476214|433464
BNY Mellon Asset Mngt. North America|US|474445|0
APG|Netherlands|473654|443194
Generali Investments|Italy|463035|455930
AllianceBernstein|US/UK|461768|455274
New York Life Investment Management|US|451236|491757
Asset Management One International|Japan|420000|433000
Columbia Threadneedle Investments|US/UK|412000|432000
MFS Investment Management|US/UK|408947|403510
Wells Fargo Asset Management|US|402194|458064
Morgan Stanley Investment Management|US/UK|401020|395748
Aviva Investors|UK|397924|403606
M&G Investments|UK|395400|307328
HSBC Global Asset Management|UK|390591|391952
Principal Global Investors|US/UK|377691|389787
Western Asset Management Company|US|363600|404400
Blackstone|US|361000|347000
Nomura Asset Management|Japan/UK|360967|348095
Eaton Vance|US/UK|360764|336266
Ostrum Asset Management|France|346600|337100
Charles Schwab Investment Management|US|345000|284700
Federated Investors|US/Germany|330757|346701
Credit Suisse Asset Management|Switzerland|330189|299247
Geode Capital Management|US|329705|248356
Manulife Asset Management|Canada|326515|325175
Union Investment|Germany|323919|292272
Aegon Asset Management|Netherlands|318078|331390
Eurizon Asset Management|Italy|310013|285254
Mellon Capital|US|308923|323802
Janus Henderson Investors|US/UK|308776|0
Macquarie Asset Management|Australia|306830|344072
Barings|US/UK|289326|257886
SEI|US/UK|281294|268570
RBC Global Asset Management|Canada|279768|277992
Fidelity International|UK/US|269267|264455
DekaBank|Germany|265336|237748
Dodge & Cox|US|263327|262116
MEAG|Germany|252479|263500
Russell Investments|US/UK|247000|166091
Neuberger Berman|US/UK|245811|241940
Stifel Financial Corp.|US|224514|0
Nordea Investment Management|Denmark|222362|217647
PGGM|Netherlands|218000|205000
BMO Global Asset Management|Canada|216844|217745
La Banque Postale Asset Management|France|216000|179202
Loomis Sayles & Company|US|211000|217500
Apollo Global Management|US|207840|182210
Baillie Gifford & Co.|UK|202331|170383
Guggenheim Investments|US|199648|198343
Caisse de depot et placement du Quebec|Canada|198476|191421
BNY Mellon Cash Investment Strategies|US|198412|203468
NN Investment Partners|Netherlands|196865|194758
Voya Investment Management|US|192993|206317
Swiss Life Asset Managers|Switzerland|191100|190300
AQR Capital|US|186700|166300
SEB|Sweden|185930|185930
Lazard Asset Management|US|185183|169667
Santander Asset Management|Spain|178145|180260
Nikko Asset Management|Japan/UK|176211|161989
The TCW Group|US|170513|182053
Pictet Asset Management|Switzerland/UK|164396|151296
Robeco|Netherlands|161060|0
E Fund Management Co.|China|158989|0
Eastspring Investments|Singapore|156556|124318
Bram 0 Bradesco Asset Management|Brazil|154569|165977
Itau Asset Management|Brazil|148721|148721
Bank J. Safra Sarasin|Switzerland|145362|138240
American Century Investments|US|144372|145150
Putnam Investments|US/UK|142656|144362
First State Investments|Australia/UK|142121|139516
KKR|US|140622|123195
Standish Mellon Asset Management|US|137153|140169
Zurcher Kantonalbank|Switzerland|136315|137624
GAM|UK/Switzerland|135637|112665
Lyxor Asset Management|France|132200|118600
Lord Abbett & Co.|US|131638|129255
Talanx Asset Management|Germany|131600|129000
Helaba Invest|Germany|130990|128241
John Hancock Investments|US|130213|130390
MN|Netherlands|129940|123625
